legacyTeamId,country,division,legacySlotName
19,Inglaterra,2,London
20,Inglaterra,2,Manchester
31,Inglaterra,2,Liverpool FC 1
32,Inglaterra,2,Birmingham FC
33,Inglaterra,2,Leeds
34,Inglaterra,2,Newcastle FC
35,Inglaterra,2,Leicester FC
36,Inglaterra,2,Bristol
37,Inglaterra,2,Nottingham
38,Inglaterra,2,Real Sheffield
39,Inglaterra,2,Southampton City
40,Inglaterra,2,Norwich United
41,Inglaterra,2,Brighton FC
42,Inglaterra,2,Wolverhampton
43,Inglaterra,2,Bournemouth FC
44,Inglaterra,2,Crystal Palace FC
55,Inglaterra,3,Club London
56,Inglaterra,3,União Manchester
57,Inglaterra,3,Liverpool
58,Inglaterra,3,Birmingham
59,Inglaterra,3,Leeds FC
60,Inglaterra,3,Newcastle FC 1
61,Inglaterra,3,Leicester FC 1
62,Inglaterra,3,Bristol United
63,Inglaterra,3,FC Nottingham
64,Inglaterra,3,Sheffield Sociedade
65,Inglaterra,3,Southampton AC
66,Inglaterra,3,Club Norwich
67,Inglaterra,3,FC Brighton
68,Inglaterra,3,Wolverhampton 1
217,Espanha,2,Sport Madrid
218,Espanha,2,Barcelona Sporting
219,Espanha,2,Sport Valencia
220,Espanha,2,Sevilla FC 1
231,Espanha,2,Bilbao
232,Espanha,2,Zaragoza
233,Espanha,2,Malaga FC
234,Espanha,2,Deportivo Murcia
235,Espanha,2,Las Palmas
236,Espanha,2,Palma Athletic
237,Espanha,2,Vigo Sociedade
238,Espanha,2,Granada AC
239,Espanha,2,Inter San Sebastián
240,Espanha,2,Girona FC 1
251,Espanha,3,Deportivo Madrid
252,Espanha,3,Barcelona FC
253,Espanha,3,Valencia
254,Espanha,3,Sevilla FC 2
255,Espanha,3,Bilbao FC
256,Espanha,3,Atlético Zaragoza
257,Espanha,3,Malaga Sociedade
258,Espanha,3,Murcia
259,Espanha,3,Las Palmas 1
260,Espanha,3,Mundial Palma
261,Espanha,3,Vigo United
262,Espanha,3,Club Granada
263,Espanha,3,Inter San Sebastián 1
264,Espanha,3,Mundial Girona
265,Espanha,3,Villarreal Athletic
266,Espanha,3,Pamplona
267,Espanha,3,Getafe
268,Espanha,3,Vitoria United
269,Espanha,3,Vallecas FC
270,Espanha,3,Leganés
271,Espanha,3,Valladolid Sociedade
272,Espanha,3,Sport Espanyol
273,Espanha,3,Eibar FC
274,Espanha,3,Mundial Gijón
275,Espanha,3,Real Elche
276,Espanha,3,Tenerife FC
277,Espanha,3,Oviedo FC
278,Espanha,3,União Cádiz
279,Espanha,3,Deportivo United
280,Espanha,3,FC Castellón
281,Espanha,3,Ibiza Athletic
282,Espanha,3,Córdoba City
434,Itália,2,Club Udine
435,Itália,2,Monza Sporting
436,Itália,2,Empoli Sporting
437,Itália,2,Mundial Salerno
438,Itália,2,Venezia FC
439,Itália,2,Sport Sassuolo
440,Itália,2,Frosinone FC
441,Itália,3,Deportivo Roma
442,Itália,3,Milano FC
