globalId,country,division,clubName,canonicalClubKey
1,Inglaterra,1,Manchester City,manchestercity
2,Inglaterra,1,Arsenal FC,arsenal
3,Inglaterra,1,Liverpool FC,liverpool
4,Inglaterra,1,Chelsea FC,chelsea
5,Inglaterra,1,Manchester United,manchesterunited
6,Inglaterra,1,Tottenham Hotspur,tottenhamhotspur
7,Inglaterra,1,Aston Villa,astonvilla
8,Inglaterra,1,Newcastle United,newcastleunited
9,Inglaterra,2,West Ham United,westhamunited
10,Inglaterra,1,Everton FC,everton
11,Inglaterra,1,AFC Bournemouth,bournemouth
12,Inglaterra,1,Brentford FC,brentford
13,Inglaterra,1,Brighton & Hove Albion,brightonhovealbion
14,Inglaterra,1,Crystal Palace,crystalpalace
15,Inglaterra,1,Fulham FC,fulham
16,Inglaterra,1,Nottingham Forest,nottinghamforest
17,Inglaterra,2,Burnley,burnley
18,Inglaterra,2,Wolverhampton Wanderers,wolverhamptonwanderers
21,Inglaterra,2,Leicester City,leicestercity
22,Inglaterra,1,Leeds United,leedsunited
23,Inglaterra,2,Southampton FC,southampton
24,Inglaterra,1,Ipswich Town,ipswichtown
25,Inglaterra,2,West Bromwich Albion,westbromwichalbion
26,Inglaterra,2,Norwich City,norwichcity
27,Inglaterra,1,Coventry City,coventrycity
28,Inglaterra,2,Middlesbrough,middlesbrough
29,Inglaterra,1,Hull City,hullcity
30,Inglaterra,1,Sunderland AFC,sunderland
45,Inglaterra,3,Derby County,derbycounty
46,Inglaterra,3,Portsmouth FC,portsmouth
47,Inglaterra,3,Bolton Wanderers,boltonwanderers
48,Inglaterra,3,Peterborough Utd,peterboroughutd
49,Inglaterra,3,Barnsley FC,barnsley
50,Inglaterra,3,Oxford United,oxfordunited
51,Inglaterra,3,Lincoln City,lincolncity
52,Inglaterra,3,Blackpool FC,blackpool
53,Inglaterra,3,Reading FC,reading
54,Inglaterra,3,Wigan Athletic,wiganathletic
201,Espanha,1,Real Madrid,realmadrid
202,Espanha,1,FC Barcelona,barcelona
203,Espanha,1,Atlético de Madrid,atleticodemadrid
204,Espanha,2,Girona FC,girona
205,Espanha,1,Real Sociedad,realsociedad
206,Espanha,1,Athletic Club,athletic
207,Espanha,1,Real Betis,realbetis
208,Espanha,1,Villarreal CF,villarreal
209,Espanha,1,Sevilla FC,sevilla
210,Espanha,1,Valencia CF,valencia
211,Espanha,1,CA Osasuna,osasuna
212,Espanha,1,Celta de Vigo,celtadevigo
213,Espanha,1,Deportivo Alavés,deportivoalaves
214,Espanha,1,Getafe CF,getafe
215,Espanha,1,Racing Santander,racingsantander
216,Espanha,1,Rayo Vallecano,rayovallecano
221,Espanha,1,RCD Espanyol de Barcelona,rcdespanyoldebarcelona
222,Espanha,2,Real Zaragoza,realzaragoza
223,Espanha,2,Real Valladolid,realvalladolid
224,Espanha,2,SD Eibar,sdeibar
225,Espanha,2,CD Leganés,leganes
226,Espanha,2,Sporting de Gijón,sportingdegijon
227,Espanha,1,Levante UD,levanteud
228,Espanha,1,Elche CF,elche
229,Espanha,2,CD Tenerife,tenerife
230,Espanha,2,Real Oviedo,realoviedo
241,Espanha,3,Castellón,castellon
242,Espanha,3,Ibiza,ibiza
243,Espanha,1,RC Deportivo,rcdeportivo
244,Espanha,1,Málaga CF,malaga
245,Espanha,3,Córdoba CF,cordoba
246,Espanha,3,Recreativo Huelva,recreativohuelva
247,Espanha,3,Real Murcia,realmurcia
248,Espanha,3,Ponferradina,ponferradina
249,Espanha,3,Algeciras CF,algeciras
250,Espanha,3,AD Ceuta,adceuta
4001,Brasil,1,Athletico-PR,athleticopr
4002,Brasil,1,Atlético-MG,atleticomg
4003,Brasil,1,Bahia,bahia
4004,Brasil,1,Botafogo,botafogo
4005,Brasil,1,Chapecoense,chapecoense
4006,Brasil,1,Corinthians,corinthians
4007,Brasil,1,Coritiba,coritiba
4008,Brasil,1,Cruzeiro,cruzeiro
4009,Brasil,1,Flamengo,flamengo
