country,fillerDemand,rawValidBanWithCrest,rawMargin
Alemanha,4,144,140
Argentina,76,169,93
Arábia Saudita,54,32,-22
Austrália,25,58,33
Bolívia,16,32,16
Bélgica,34,72,38
Catar,24,25,1
Chile,64,63,-1
China,68,61,-7
Colômbia,68,37,-31
Coreia do Sul,52,57,5
Costa Rica,46,35,-11
Croácia,67,81,14
Dinamarca,22,53,31
Egito,34,34,0
El Salvador,28,38,10
Emirados Árabes Unidos,26,28,2
Equador,26,33,7
Escócia,16,47,31
Espanha,46,99,53
Estados Unidos / Canadá,78,153,75
França,20,128,108
Grécia,14,93,79
Guatemala,32,27,-5
Honduras,20,22,2
Inglaterra,30,124,94
Irã,62,44,-18
Itália,62,110,48
Jamaica,34,24,-10
Japão,60,88,28
Marrocos,48,97,49
México,90,58,-32
Noruega,14,65,51
Panamá,21,26,5
Paraguai,36,31,-5
Países Baixos,38,92,54
Peru,33,47,14
Polônia,18,132,114
Portugal,34,131,97
República Dominicana,10,21,11
Suécia,16,67,51
Suíça,10,84,74
Sérvia,31,52,21
Tchéquia,64,40,-24
Trinidad e Tobago,12,20,8
Tunísia,30,36,6
Turquia,58,124,66
Uruguai,44,36,-8
Venezuela,28,45,17
África do Sul,32,63,31
Áustria,32,94,62
